permit_record_id,permit_address,permit_date,permit_est_cost,mls_list_no,mls_address,mls_list_date,mls_settled_date,mls_sale_price,match_type,match_score,time_to_list_days,time_to_sale_days,sale_to_cost_ratio
"","21 Lawrence Road 4 3","","","73051996","21 Lawrence Road 4 3","2022-10-25","2022-12-29","","exact","1","","",""
"","8 Lincoln Circle 4 3","","","73194963","8 Lincoln Cir 4 3","2024-01-18","2024-03-07","","exact","1","","",""
"","37 Hickory Road 5 4","","","72667462","37 Hickory Road 5 4","2020-06-03","2020-09-14","","exact","1","","",""
"","16 Marshall Rd 4 4","","","72662891","16 Marshall Rd 4 4","2020-05-27","2021-02-28","","exact","1","","",""
"","37 Garrison Rd 6 5","","","72855665","37 Garrison Rd 6 5","2021-06-23","2021-10-27","","exact","1","","",""
"","30 Mayo Rd 5 3","","","72950693","30 Mayo Rd 5 3","2022-03-08","2022-05-12","","exact","1","","",""
"","175 Oakland St 4 3","","","72834571","175 Oakland St 4 3","2021-05-18","2021-06-29","","exact","1","","",""
"","48 MacArthur Rd 4 4","","","72777707","48 MacArthur Rd 4 4","2021-01-21","2021-03-30","","exact","1","","",""
"","18 Leighton Rd 6 3","","","72943088","18 Leighton Rd 6 3","2022-02-15","2022-04-18","","exact","1","","",""
"","37 Leewood Rd 4 4","","","72822213","37 Leewood Rd 4 4","2021-04-27","2021-07-07","","exact","1","","",""
"","137 Hampshire Rd 4 2","","","72933373","137 Hampshire Rd 4 2","2022-01-11","2022-03-15","","exact","1","","",""
"","88 Manor Ave 4 4","","","72924288","88 Manor Ave 4 4","2021-11-30","2022-01-10","","exact","1","","",""
"","121 Forest St 5 3","","","72901985","121 Forest St 5 3","2021-09-28","2021-11-30","","exact","1","","",""
"","65 Donizetti St 4 3","","","72861422","65 Donizetti St 4 3","2021-07-06","2021-08-26","","exact","1","","",""
"","41 Leighton Road 5 3","","","72861198","41 Leighton Road 5 3","2021-07-06","2021-08-29","","exact","1","","",""
"","15 Larch Rd 5 3","","","72856373","15 Larch Rd 5 3","2021-06-23","2021-08-19","","exact","1","","",""
"","34 Greenwood Rd 5 4","","","72824462","34 Greenwood Rd 5 4","2021-05-02","2021-08-01","","exact","1","","",""
"","10 Winthrop Rd 4 3","","","72809053","10 Winthrop Rd 4 3","2021-04-05","2021-08-01","","exact","1","","",""
"","9 Durant Road 5 4","","","72790718","9 Durant Road 5 4","2021-02-26","2022-01-10","","exact","1","","",""
"","135 Washington St 5 3","","","72736961","135 Washington St 5 3","2020-10-02","2020-12-06","","exact","1","","",""
"","3 Wilde Rd 4 5","","","72656223","3 Wilde Rd 4 5","2020-05-13","2020-08-30","","exact","1","","",""
